observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative,species
2025-08-06,2025-05-26,42.46292,-83.847502,fruiting,5,1252.1650360107424,Ailanthus_altissima
2025-08-06,2025-05-26,38.8572654724,-77.0471191406,fruiting,5,1444.7610748291008,Ailanthus_altissima
2025-08-06,2025-05-26,42.3281033333,-83.0394138333,fruiting,5,1290.4991043090822,Ailanthus_altissima
2025-08-02,2025-05-26,44.66166982,8.61371588,fruiting,5,1247.3615707397462,Ailanthus_altissima
2025-08-02,2025-05-26,43.6103172333,13.4453481808,fruiting,5,1346.265089416504,Ailanthus_altissima
2025-08-06,2025-05-26,41.2618366333,-95.9817673266,fruiting,5,1423.0132186889646,Ailanthus_altissima
2025-07-29,2025-05-26,45.7847633333,3.0766870833,fruiting,5,924.6965789794936,Ailanthus_altissima
2025-08-05,2025-05-26,42.4090388889,-82.1871111111,fruiting,5,1219.870600891114,Ailanthus_altissima
2025-08-04,2025-05-26,31.7983566135,35.2205318654,fruiting,5,1450.1400695800776,Ailanthus_altissima
2025-08-04,2025-05-26,37.5518916667,122.1386555,fruiting,5,,Ailanthus_altissima
2025-08-03,2025-05-26,42.3471050042,-71.5388649702,fruiting,5,1184.5104370117197,Ailanthus_altissima
2025-08-02,2025-05-26,40.660795,-73.806495,fruiting,5,1267.9194778442388,Ailanthus_altissima
2025-07-26,2025-05-26,50.3784700557,7.2853403538,fruiting,5,834.808047485353,Ailanthus_altissima
2025-08-01,2025-05-26,42.3468399559,-71.2363469681,fruiting,5,1149.5179183959972,Ailanthus_altissima
2025-08-01,2025-05-26,42.3468022983,-71.2366354222,fruiting,5,1149.5179183959972,Ailanthus_altissima
2025-08-01,2025-05-26,42.3360647653,-71.1523177475,fruiting,5,1149.5179183959972,Ailanthus_altissima
2025-08-01,2025-05-26,42.3554937937,-71.1881322786,fruiting,5,1146.872105407716,Ailanthus_altissima
2025-08-01,2025-05-26,42.7756843567,-71.0841064453,fruiting,5,1138.499836730958,Ailanthus_altissima
2025-08-01,2025-05-26,36.2082805556,117.1281,fruiting,5,1509.694752502441,Ailanthus_altissima
2025-08-01,2025-05-26,40.3292643665,-3.7991968542,fruiting,5,1399.9422042846677,Ailanthus_altissima
2025-07-31,2025-05-26,42.6280188368,-70.6410746276,fruiting,5,,Ailanthus_altissima
2025-07-31,2025-05-26,43.0244583333,-76.13995,fruiting,5,1093.062632751466,Ailanthus_altissima
